,prompt,label
0,ya know i always,affiliation
1,when i watch this,affiliation
2,i feel very sorry,affiliation
3,i find it frightening,affiliation
4,as a jew id,affiliation
5,i am jewish and,affiliation
6,i am a christian,affiliation
7,as a black man,affiliation
8,i am a jew,affiliation
9,i am muslim but,affiliation
10,i am a believer,affiliation
11,to say every african,affiliation
12,i am a moslim,affiliation
13,i am jewish and,affiliation
14,i am a muslim,affiliation
15,gargoyle i am gay,affiliation
16,i am muslim i,affiliation
17,this is why even,affiliation
18,christian are not to,affiliation
19,kirk cameron does not,affiliation
20,you got to love,affiliation
21,this is nothing new,affiliation
22,i am a jew,affiliation
23,living in jamaica queens,affiliation
24,i am laughing so,affiliation
25,i am a jewish,affiliation
26,as a muslim i,affiliation
27,hate is an emotional,affiliation
28,i just want to,affiliation
29,nick p i am,affiliation
30,intolerance of other peoples,denouncing
31,yeparrest the black guy,denouncing
32,this is simply wrong,denouncing
33,i think maybe prejudice,denouncing
34,hate hate hate this,denouncing
35,this is not true,denouncing
36,the only obstacle to,denouncing
37,how can you say,denouncing
38,it sickens me that,denouncing
39,i have to say,denouncing
40,only your religion talk,denouncing
41,that is quite a,denouncing
42,fucking racism,denouncing
43,ignorance breeds hate,denouncing
44,full of hatethis is,denouncing
45,this is horrible racist,denouncing
46,please stop being racist,denouncing
47,irrelevant closet case such,denouncing
48,the world would be,denouncing
49,this is why people,denouncing
50,maybe prejudice and xenophobia,denouncing
51,such wrong and offensive,denouncing
52,replace islam with any,denouncing
53,this is not true,denouncing
54,this is not christianity,denouncing
55,the black guy was,denouncing
56,islam is a retarded,denouncing
57,why is the hate,denouncing
58,thatsthats really hateful,denouncing
59,that is disgraceful to,denouncing
60,jesus christ was jewish,facts
61,sexual orientation gay or,facts
62,all the major world,facts
63,crime and criminals are,facts
64,is this what jesus,facts
65,i suppose we have,facts
66,actually homosexuality is natural,facts
67,surely it is our,facts
68,the proportion of muslims,facts
69,a true follower of,facts
70,discrimination by employers in,facts
71,without islam and it,facts
72,sonoki82 you are are,facts
73,anyone think that this,facts
74,muslims make up many,facts
75,terrorism is not confined,facts
76,the myth that muslims,facts
77,islam is belief system,facts
78,the majority of sexual,facts
79,95 of british muslims,facts
80,homosexuality is as natural,facts
81,muslims have been part,facts
82,the media is selective,facts
83,jews have had their,facts
84,violence is only permitted,facts
85,in fact at no,facts
86,that is what biased,facts
87,child rapists are a,facts
88,muhammed tried to make,facts
89,that is right parents,humor
90,poor jeshua he will,humor
91,ahhh once again the,humor
92,the religion of peace,humor
93,hmm now what other,humor
94,he should do standup,humor
95,i think piers questioning,humor
96,she is just salty,humor
97,how is this if,humor
98,damn a gay guy,humor
99,he better start looking,humor
100,i think this dude,humor
101,pastor at love and,humor
102,he was a violent,humor
103,ha silly religion so,humor
104,tell it to my,humor
105,i will go jihad,humor
106,i am willing to,humor
107,give a white man,humor
108,of course he was,humor
109,kirk come out of,humor
110,for the longest time,humor
111,i read an article,humor
112,from your spiel about,humor
113,send straight men to,humor
114,i really cannot wait,humor
115,i bet she got,humor
116,this guy is very,humor
117,dig a hole build,humor
118,quran quotes that are,humor
119,the bible says do,hypocrisy
120,you are not seriously,hypocrisy
121,the same book they,hypocrisy
122,i am wondering have,hypocrisy
123,remember when jesus was,hypocrisy
124,this is why it,hypocrisy
125,morgethein what the fuck,hypocrisy
126,why does not she,hypocrisy
127,why did gd who,hypocrisy
128,ooohhh questions black people,hypocrisy
129,you sound like muslims,hypocrisy
130,if you are on,hypocrisy
131,god in todays day,hypocrisy
132,pastors do not teach,hypocrisy
133,only because when a,hypocrisy
134,i cannot figure out,hypocrisy
135,so you christians are,hypocrisy
136,people say they believe,hypocrisy
137,these are not only,hypocrisy
138,you bible people stop,hypocrisy
139,the same could be,hypocrisy
140,lebron dwade etc make,hypocrisy
141,well hasan pirker i,hypocrisy
142,just as much as,hypocrisy
143,terrorism and targeting the,hypocrisy
144,any person of faith,hypocrisy
145,what about recent school,hypocrisy
146,so mr farrakhan is,hypocrisy
147,what happened to praying,hypocrisy
148,i pity his kids,positive tone
149,revoltingsheeple in other words,positive tone
150,this made me so,positive tone
151,i do not intend,positive tone
152,my opinion is no,positive tone
153,if we truly want,positive tone
154,this man should not,positive tone
155,i love jewish people,positive tone
156,i am a christian,positive tone
157,this is sad,positive tone
158,very unfortunate situation however,positive tone
159,wtf man you do,positive tone
160,i cannot believe its,positive tone
161,i read the bible,positive tone
162,hi dear god always,positive tone
163,all racist cops should,positive tone
164,he wants caitlyn to,positive tone
165,who can be better,positive tone
166,just live and let,positive tone
167,discrimination is evil when,positive tone
168,what about the black,positive tone
